Date,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Deliverable Volume,%Deliverble
23-09-2008,611.8,611.8,587.25,600,605.8,596.97,164644,9.82878E+12,150119,0.9118
24-09-2008,593.5,611,561.1,564.95,581.4,602.82,228942,1.38012E+13,197850,0.8642
25-09-2008,569.95,609.9,561.5,600,598.75,585.66,91059,5.33296E+12,53077,0.5829
26-09-2008,586.5,599.8,586.5,587.05,591.6,593.07,114852,6.81156E+12,107958,0.94
29-09-2008,590,597.85,559,572,571,575.81,101895,5.8672E+12,91334,0.8964
30-09-2008,548,609.9,535.25,609.9,594.9,591.75,260167,1.53953E+13,213785,0.8217
01-10-2008,601,617,571.3,599.95,600.05,600.72,54337,3.26414E+12,25194,0.4637
03-10-2008,581.35,598.7,570.25,571,576.95,593.21,54130,3.21102E+12,49174,0.9084
06-10-2008,556,600,556,575,574.3,585.99,153780,9.01128E+12,121950,0.793
07-10-2008,579.05,601,560.2,584,582.65,579.43,46113,2.67194E+12,36382,0.789
08-10-2008,555,571.95,496,535.55,544.15,537.81,86133,4.63231E+12,68121,0.7909
10-10-2008,501.1,524.9,425,425,462.65,500.2,208322,1.04202E+13,179589,0.8621
13-10-2008,457,527.9,450,511,514.5,500.36,153103,7.66059E+12,124001,0.8099
14-10-2008,527,590.65,525,534,540.6,557.36,183201,1.02109E+13,153074,0.8356
15-10-2008,523.05,545,459.5,544,529.2,498.19,156439,7.7937E+12,130055,0.8313
16-10-2008,499.3,550,499.3,534,535.45,535.83,179097,9.59653E+12,143016,0.7985
17-10-2008,515.15,549.85,507,530,523.65,531.52,25061,1.33203E+12,17584,0.7016
20-10-2008,544,560,511.4,560,541.5,531.89,176178,9.37074E+12,162962,0.925
21-10-2008,536,565,533.8,565,560.9,548.85,15724,8.6301E+11,8599,0.5469
22-10-2008,543.5,563.9,524.95,543.75,538.75,542.79,31760,1.72389E+12,21474,0.6761
23-10-2008,526,544.8,502,542.8,529.95,528.42,22196,1.17287E+12,11316,0.5098
24-10-2008,516.05,526,456.05,479.9,464.9,476.43,232905,1.10962E+13,218235,0.937
27-10-2008,455.05,480,435,465,468.2,461.98,200647,9.26956E+12,184046,0.9173
28-10-2008,551.9,551.9,485,508.3,505.35,502.82,4966,2.49702E+11,3476,0.7
29-10-2008,507,555,481,530,531.05,523.97,106956,5.60422E+12,94214,0.8809
31-10-2008,555,563,535.2,540,544.9,548.83,691150,3.79327E+13,679727,0.9835
03-11-2008,550,550,495,500,498.45,531.13,1066998,5.6672E+13,1014923,0.9512
04-11-2008,500,507,455,468,469.7,474.56,341268,1.61951E+13,269647,0.7901
05-11-2008,480,480,440.6,445,444.5,451.91,130247,5.88597E+12,78419,0.6021
06-11-2008,435,435,410,416,416.95,418.84,264965,1.10977E+13,238451,0.8999
07-11-2008,420,423.6,409,413.7,410.25,415.69,155936,6.48207E+12,136366,0.8745
10-11-2008,416,434.5,415.25,426.2,425.85,424.75,72681,3.08713E+12,37428,0.515
11-11-2008,425,425,392,399,403.35,413.82,112399,4.65127E+12,97512,0.8676
12-11-2008,404,406.65,366.1,380,378.95,377.67,105527,3.98543E+12,77016,0.7298
14-11-2008,404,404,366,371,371.15,370.23,547474,2.02691E+13,530270,0.9686
17-11-2008,371,371,355,357.9,359.95,360.69,19552,7.05225E+11,7948,0.4065
18-11-2008,364.9,375,342,354.05,353.85,351.76,22889,8.05135E+11,9986,0.4363
19-11-2008,350,368,345,364.6,365.05,360.33,30174,1.08725E+12,12774,0.4233
20-11-2008,360,364,333,343,344.95,349.91,409423,1.43261E+13,378149,0.9236
21-11-2008,342,343,332.95,337,339.05,336.22,31399,1.05571E+12,16336,0.5203
24-11-2008,350,354,322.25,330.05,330.15,330.22,31560,1.04217E+12,19450,0.6163
25-11-2008,354,354,313.6,317,317.85,329.54,351766,1.1592E+13,340675,0.9685
26-11-2008,329.8,334.9,305.5,328.95,328.75,315.56,128039,4.04041E+12,115521,0.9022
28-11-2008,307,329.65,307,318,321.65,320.6,133112,4.2676E+12,124413,0.9346
01-12-2008,324.05,327.15,299,312,308.05,309.28,54065,1.67211E+12,24005,0.444
02-12-2008,262,307.05,262,300,301.9,301.98,94917,2.86627E+12,79507,0.8376
03-12-2008,311.9,311.9,296,305.4,303.8,303.89,43065,1.30871E+12,29914,0.6946
04-12-2008,304.8,316.5,304.8,312.9,310.65,313.13,66125,2.07055E+12,57546,0.8703
05-12-2008,306.2,316.75,306.2,315,314.95,314.45,35909,1.12915E+12,25774,0.7178
08-12-2008,330.7,340.9,322.3,331.9,332.6,330.62,35849,1.18523E+12,19984,0.5574
10-12-2008,339.75,351,325.1,347.2,339.8,331.22,236991,7.84952E+12,216605,0.914
11-12-2008,335.35,358,335.35,355.8,355.15,351.98,62140,2.1872E+12,46186,0.7433
12-12-2008,353,417,336.25,395,391.7,394.59,407966,1.60978E+13,224450,0.5502
15-12-2008,419,419,395.05,412,410.35,405.65,169800,6.88793E+12,130657,0.7695
16-12-2008,400,440,396.25,416,413.2,410.47,128335,5.26781E+12,67963,0.5296
17-12-2008,420.95,429,385.2,393.2,396.35,419.77,275062,1.15462E+13,229846,0.8356
18-12-2008,382.3,418.85,382.3,412.9,410.75,406.51,105636,4.2942E+12,82536,0.7813
19-12-2008,408,421.75,400.1,404.3,404.3,410.27,23434,9.61432E+11,8028,0.3426
22-12-2008,412,420,403.05,413,413.7,411.19,57361,2.35865E+12,35559,0.6199
23-12-2008,402.5,414,402.5,408,408.15,408.94,15624,6.38925E+11,6860,0.4391
24-12-2008,396.5,403,390,391.55,394.6,395.12,101475,4.00948E+12,81414,0.8023
26-12-2008,388.5,396,370,377,375.3,379.98,70943,2.69568E+12,52156,0.7352
29-12-2008,389,389,360.45,370.8,370,369.02,136120,5.02317E+12,125242,0.9201
30-12-2008,397,397,374,386.95,387.05,383.64,48801,1.87218E+12,34705,0.7112
31-12-2008,390.05,397.9,382,391,391.1,393.93,53900,2.12328E+12,20611,0.3824
01-01-2009,407,411,377,410,409.75,399.1,116672,4.65635E+12,28720,0.2462
02-01-2009,409.4,420,398,420,415.8,411.11,114432,4.70437E+12,60285,0.5268
05-01-2009,411.15,475.7,411.15,438,440.15,435.38,86312,3.75786E+12,46716,0.5412
06-01-2009,430.25,440,424,432,434.7,429.31,375475,1.61194E+13,332625,0.8859
07-01-2009,432,439.9,403.25,410.3,407.25,417.65,79083,3.30289E+12,61086,0.7724
09-01-2009,390,439.7,390,426.25,427.7,419.57,26601,1.1161E+12,12970,0.4876
12-01-2009,411.25,436,411.25,425.65,427.7,425.84,68862,2.93242E+12,49480,0.7185
13-01-2009,448.4,448.4,425.25,438,435.3,434.23,50078,2.17452E+12,25420,0.5076
14-01-2009,436,440,431,440,438.05,437.55,30391,1.32974E+12,23160,0.7621
15-01-2009,425,448.8,425,441,443.65,442.27,102825,4.54767E+12,88905,0.8646
16-01-2009,426,479.9,425,473.8,461.85,452.25,451327,2.04114E+13,202426,0.4485
19-01-2009,480,503.25,465,498,499,491.6,281503,1.38386E+13,147763,0.5249
20-01-2009,490,490,452,464,456.45,474.68,1011320,4.80056E+13,861509,0.8519
21-01-2009,458.2,458.2,440.15,455,453.2,452.49,49893,2.25759E+12,18869,0.3782
22-01-2009,468,477.7,455.9,475.5,472.25,466.56,68680,3.20431E+12,47540,0.6922
23-01-2009,464.05,475,447.9,460,457.55,454.65,38565,1.75334E+12,18166,0.471
27-01-2009,450.05,465.95,447,453.05,453.1,454.34,70612,3.2082E+12,56277,0.797
28-01-2009,455,468,451.2,463,462.3,460.67,13890,6.39871E+11,4569,0.3289
29-01-2009,470,487.95,458,472,477.55,474.75,76865,3.64915E+12,48015,0.6247
30-01-2009,472.5,484.65,462.85,473.65,474.75,474.37,38068,1.80584E+12,19357,0.5085
02-02-2009,470,493.7,463.05,465.2,466.45,474.07,49978,2.36933E+12,19778,0.3957
03-02-2009,467,475,444.2,468,459.9,456.1,39896,1.81965E+12,16618,0.4165
04-02-2009,474,474,451.1,452.95,457.2,461.26,7603,3.50694E+11,1798,0.2365
05-02-2009,453,460,441.15,456.65,456.45,453.49,17226,7.81179E+11,3517,0.2042
06-02-2009,446.1,460,446.1,452.5,454.85,454.7,21145,9.61469E+11,14288,0.6757
09-02-2009,459,462.85,446.3,460,458.4,457.53,46483,2.12673E+12,33098,0.712
10-02-2009,469.85,477,462.35,463.5,466.55,469.99,28978,1.36193E+12,10464,0.3611
11-02-2009,456.1,468.7,454.05,457.95,456.4,460.33,17775,8.1824E+11,11101,0.6245
12-02-2009,460,484,454.2,478.05,478.25,476.38,189700,9.03699E+12,157975,0.8328
13-02-2009,483,490,472.2,473.85,476.2,483.93,36817,1.78169E+12,10446,0.2837
16-02-2009,475.8,491.5,462,465,464.9,479.19,116720,5.59309E+12,35737,0.3062
17-02-2009,455.1,477.95,455.1,473,475.75,469.42,30053,1.41076E+12,13600,0.4525
18-02-2009,470,505,461.1,498,495.5,491.52,173850,8.54499E+12,112927,0.6496
19-02-2009,501.05,509,492.6,496,497.15,496.67,179229,8.90182E+12,119087,0.6644
20-02-2009,489,501.8,481.15,500,499.65,495.6,36763,1.82197E+12,21259,0.5783
