Date,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Deliverable Volume,%Deliverble
11-09-2009,742,744.9,725.5,733.7,734.9,733.28,1006422,7.37992E+13,117550,0.1168
14-09-2009,729.5,750,716.25,747.45,744.65,734.68,1356748,9.96781E+13,232189,0.1711
15-09-2009,746.25,770,746.25,766.8,767.45,761.05,1920838,1.46186E+14,413032,0.215
16-09-2009,774,817.9,769.95,815.7,810.3,794.06,2632120,2.09007E+14,528912,0.2009
17-09-2009,812,822.9,790,791.1,799.3,803.4,1638212,1.31614E+14,402411,0.2456
18-09-2009,785,806.8,782,793,792.7,792.83,1215809,9.63931E+13,271264,0.2231
22-09-2009,796,809.9,791.4,802.45,803.05,803.12,929516,7.46513E+13,157844,0.1698
23-09-2009,805,842.35,805,824.9,827.1,826.04,2475138,2.04457E+14,550962,0.2226
24-09-2009,815.55,851,802.9,847.15,840.95,824.89,1541995,1.27198E+14,358317,0.2324
25-09-2009,835,838.7,796.1,807.15,807.7,817.34,2034109,1.66256E+14,464101,0.2282
29-09-2009,817.1,827.95,810.5,817.45,819.2,820.02,980962,8.04405E+13,127340,0.1298
30-09-2009,817,836,816,833.5,832.6,829.13,1034144,8.57439E+13,232766,0.2251
01-10-2009,838.7,868,821.3,854.1,853.75,852.57,1837631,1.56671E+14,232226,0.1264
05-10-2009,848.85,853.75,830,834,836.45,841.53,1364841,1.14855E+14,248417,0.182
06-10-2009,841,877.8,832,876,869.95,852.48,2071488,1.7659E+14,324108,0.1565
07-10-2009,879.9,906,875,885,883,895.52,2069224,1.85303E+14,326099,0.1576
08-10-2009,895,921.3,883.5,912,911.7,906.69,1916483,1.73765E+14,408830,0.2133
09-10-2009,913.7,922,882.95,886.75,889.85,907.65,1401755,1.27231E+14,259333,0.185
12-10-2009,899,929.4,895,905,903.8,913.78,2348843,2.14633E+14,838756,0.3571
14-10-2009,916.4,921.6,904.25,910.1,912.6,912.43,2728755,2.4898E+14,1166148,0.4274
